dataset,seed,family,n_in_subsample,share_in_subsample,share_in_full_test
CSECICIDS2018,31,DDoS-LOIC-UDP - Attempted,0,0.0,0.0006074177492905905
CSECICIDS2018,31,Botnet Ares - Attempted,0,0.0,0.00047142870094195083
CSECICIDS2018,31,Infiltration - Communication Victim Attacker,1,0.002,0.00037170339881961506
CSECICIDS2018,31,Web Attack - Brute Force - Attempted,0,0.0,0.00027197809669727934
CSECICIDS2018,31,Web Attack - Brute Force,0,0.0,0.00021758247735782345
CSECICIDS2018,31,DoS Hulk - Attempted,0,0.0,0.00018131873113151953
CSECICIDS2018,31,Infiltration - Dropbox Download,1,0.002,0.00017225279457494356
CSECICIDS2018,31,Web Attack - XSS,0,0.0,0.0001631868580183676
CSECICIDS2018,31,Web Attack - SQL,0,0.0,7.252749245260782e-05
CSECICIDS2018,31,Infiltration - Dropbox Download - Attempted,0,0.0,6.346155589603184e-05
CSECICIDS2018,31,Web Attack - SQL - Attempted,0,0.0,2.7197809669727932e-05
CSECICIDS2018,31,Web Attack - XSS - Attempted,0,0.0,9.065936556575977e-06
CSECICIDS2018,99,Benign,250,0.5,0.5439561933945586
CSECICIDS2018,99,DDoS-HOIC,28,0.056,0.05474919086516233
CSECICIDS2018,99,Botnet Ares,22,0.044,0.05467666337270972
CSECICIDS2018,99,DoS Hulk,35,0.07,0.05435028965667298
CSECICIDS2018,99,SSH-BruteForce,30,0.06,0.05429589403733353
CSECICIDS2018,99,DDoS-LOIC-HTTP,25,0.05,0.054114575306202006
CSECICIDS2018,99,Infiltration - NMAP Portscan,24,0.048,0.053906058765400756
CSECICIDS2018,99,FTP-BruteForce - Attempted,28,0.056,0.053779135653608694
CSECICIDS2018,99,DoS GoldenEye,27,0.054,0.04152198942911797
CSECICIDS2018,99,DoS Slowloris,13,0.026,0.015838191164338232
CSECICIDS2018,99,DoS GoldenEye - Attempted,3,0.006,0.007470331722618605
CSECICIDS2018,99,DDoS-LOIC-UDP,5,0.01,0.004569232024514293
CSECICIDS2018,99,DoS Slowloris - Attempted,6,0.012,0.004224726435364405
CSECICIDS2018,99,Botnet Ares - Attempted,0,0.0,0.0006255496224037425
CSECICIDS2018,99,Infiltration - Communication Victim Attacker,1,0.002,0.00036263746226303906
CSECICIDS2018,99,DDoS-LOIC-UDP - Attempted,1,0.002,0.00034450558914988713
CSECICIDS2018,99,Web Attack - Brute Force,0,0.0,0.0003263737160367352
CSECICIDS2018,99,Web Attack - Brute Force - Attempted,0,0.0,0.00025384622358412735
CSECICIDS2018,99,Infiltration - Dropbox Download,0,0.0,0.00022664841391439942
CSECICIDS2018,99,Web Attack - XSS,1,0.002,0.00017225279457494356
CSECICIDS2018,99,DoS Hulk - Attempted,0,0.0,0.00013598904834863967
CSECICIDS2018,99,Web Attack - SQL - Attempted,0,0.0,3.626374622630391e-05
CSECICIDS2018,99,Infiltration - Dropbox Download - Attempted,0,0.0,3.626374622630391e-05
CSECICIDS2018,99,Web Attack - SQL,1,0.002,2.7197809669727932e-05
TONIOT,42,normal,250,0.5,0.2369162974721031
TONIOT,42,dos,26,0.052,0.09753843966926484
TONIOT,42,backdoor,34,0.068,0.09602217536544339
TONIOT,42,scanning,25,0.05,0.09573787580847687
TONIOT,42,ddos,31,0.062,0.09486128550783009
TONIOT,42,xss,35,0.07,0.09481390224833566
TONIOT,42,password,34,0.068,0.09429268639389704
TONIOT,42,ransomware,30,0.06,0.09246843090336185
TONIOT,42,injection,34,0.068,0.0923973560141202
TONIOT,42,mitm,1,0.002,0.004951550617166955
TONIOT,7,normal,250,0.5,0.2369162974721031
TONIOT,7,password,25,0.05,0.09642493307114597
TONIOT,7,dos,27,0.054,0.09618801677367386
TONIOT,7,injection,40,0.08,0.09578525906797128
TONIOT,7,ransomware,25,0.05,0.09505081854580777
TONIOT,7,scanning,29,0.058,0.0939846952071833
TONIOT,7,backdoor,33,0.066,0.09391362031794168
TONIOT,7,xss,31,0.062,0.09365301239072235
TONIOT,7,ddos,37,0.074,0.0930844132767893
TONIOT,7,mitm,3,0.006,0.004998933876661375
TONIOT,123,normal,250,0.5,0.2369162974721031
TONIOT,123,backdoor,45,0.09,0.09737259826103438
TONIOT,123,ransomware,29,0.058,0.0967329242578597
TONIOT,123,scanning,33,0.066,0.09578525906797128
TONIOT,123,ddos,24,0.048,0.09552465114075197
TONIOT,123,password,31,0.062,0.09495605202681892
TONIOT,123,dos,33,0.066,0.09422161150465541
TONIOT,123,injection,26,0.052,0.0923499727546258
TONIOT,123,xss,27,0.054,0.09140230756473738
TONIOT,123,mitm,2,0.004,0.004738325949442062
TONIOT,31,normal,250,0.5,0.2369162974721031
TONIOT,31,scanning,20,0.04,0.09606955862493781
TONIOT,31,injection,29,0.058,0.09573787580847687
TONIOT,31,backdoor,27,0.054,0.09545357625151034
TONIOT,31,xss,36,0.072,0.09542988462176313
TONIOT,31,dos,37,0.074,0.09488497713757729
TONIOT,31,ransomware,27,0.054,0.09400838683693051
TONIOT,31,password,37,0.074,0.09362932076097515
TONIOT,31,ddos,36,0.072,0.09294226349830605
TONIOT,31,mitm,1,0.002,0.004927858987419744
TONIOT,99,normal,250,0.5,0.2369162974721031
TONIOT,99,injection,34,0.068,0.09824918856168116
TONIOT,99,backdoor,33,0.066,0.09663815773887086
TONIOT,99,scanning,30,0.06,0.09602217536544339
TONIOT,99,ransomware,28,0.056,0.09417422824516099
TONIOT,99,xss,34,0.068,0.09417422824516099
TONIOT,99,ddos,27,0.054,0.09353455424198631
TONIOT,99,password,28,0.056,0.09336871283375583
TONIOT,99,dos,35,0.07,0.09199459830841764
TONIOT,99,mitm,1,0.002,0.004927858987419744
WUSTLEHMS2020,42,normal,250,0.5,0.8746936274509803
WUSTLEHMS2020,42,Data Alteration,125,0.25,0.06433823529411764
WUSTLEHMS2020,42,Spoofing,125,0.25,0.06096813725490196
WUSTLEHMS2020,7,normal,250,0.5,0.8746936274509803
WUSTLEHMS2020,7,Spoofing,137,0.274,0.0664828431372549
WUSTLEHMS2020,7,Data Alteration,113,0.226,0.058823529411764705
WUSTLEHMS2020,123,normal,250,0.5,0.8746936274509803
WUSTLEHMS2020,123,Spoofing,145,0.29,0.06985294117647059
WUSTLEHMS2020,123,Data Alteration,105,0.21,0.05545343137254902
WUSTLEHMS2020,31,normal,250,0.5,0.8746936274509803
WUSTLEHMS2020,31,Spoofing,144,0.288,0.07138480392156862
WUSTLEHMS2020,31,Data Alteration,106,0.212,0.05392156862745098
WUSTLEHMS2020,99,normal,250,0.5,0.8746936274509803
WUSTLEHMS2020,99,Spoofing,132,0.264,0.06893382352941177
WUSTLEHMS2020,99,Data Alteration,118,0.236,0.056372549019607844
